Project_Name,File_Path,Function_method,Primary_Failure_Line,Affected_lines,Tool,Language,Total_File_LOC,Affected_LOC,tool_version,Code Snippet,Tests,Final Classification Category,
typesystem,typesystem/tokenize/positional_validation.py,"validate_with_positions(*, token: Token, validator: typing.Union[Field, typing.Type[Schema]]) -> typing.Any",14,"15-23, 25-32, 33-36",Pynguin,Python,21,17,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/typesystem_html/z_29fdff67c53333a9_positional_validation_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/typesystem/0/test_typesystem_tokenize_positional_validation.py,Triggering Exceptions,
spotify-metrics-munin-reporter,com/spotify/statistics/NumberUtil.java,private static String toString(final Double value),35,"36, 39, 41",EvoSuite,Java,18,3,1.2.0,https://killb0x.github.io/final_coverage/java/flaky_tests/coverage/spotify-metrics-munin-reporter/index.html,https://github.com/killB0x/final_coverage/blob/master/java/flaky_tests/tests/spotify-metrics-munin-reporter/com/spotify/statistics/NumberUtil_ESTest.java,Path Unreachable via Public API,
spotify-metrics-munin-reporter,com/spotify/statistics/NumberUtil.java,private static String toString(final Float value),45,"46, 49, 51",EvoSuite,Java,18,3,1.2.0,https://killb0x.github.io/final_coverage/java/flaky_tests/coverage/spotify-metrics-munin-reporter/index.html,https://github.com/killB0x/final_coverage/blob/master/java/flaky_tests/tests/spotify-metrics-munin-reporter/com/spotify/statistics/NumberUtil_ESTest.java,Path Unreachable via Public API,
spotify-metrics-munin-reporter,com/spotify/statistics/NumberUtil.java,public static String toString(final Object value),63,"64, 66",EvoSuite,Java,18,2,1.2.0,https://killb0x.github.io/final_coverage/java/flaky_tests/coverage/spotify-metrics-munin-reporter/index.html,https://github.com/killB0x/final_coverage/blob/master/java/flaky_tests/tests/spotify-metrics-munin-reporter/com/spotify/statistics/NumberUtil_ESTest.java,Object Creation Challange,
spotify-metrics-munin-reporter,com/spotify/statistics/NumberUtil.java,private NumberUtil(),,77-79,EvoSuite,Java,18,3,1.2.0,https://killb0x.github.io/final_coverage/java/flaky_tests/coverage/spotify-metrics-munin-reporter/index.html,https://github.com/killB0x/final_coverage/blob/master/java/flaky_tests/tests/spotify-metrics-munin-reporter/com/spotify/statistics/NumberUtil_ESTest.java,Path Unreachable via Public API,
spotify-metrics-munin-reporter,com/spotify/statistics/ReverseLookupHostname.java,public String getHostname(),33,33-34,EvoSuite,Java,4,2,1.2.0,https://killb0x.github.io/final_coverage/java/flaky_tests/coverage/spotify-metrics-munin-reporter/index.html,https://github.com/killB0x/final_coverage/blob/master/java/flaky_tests/tests/spotify-metrics-munin-reporter/com/spotify/statistics/ReverseLookupHostname_ESTest.java,Triggering Exceptions,
spotify-metrics-munin-reporter,com/spotify/statistics/StaticMuninGraphProvider.java,public StaticMuninGraphProvider(final List<MuninGraph> graphs),33,35,EvoSuite,Java,11,1,1.2.0,https://killb0x.github.io/final_coverage/java/flaky_tests/coverage/spotify-metrics-munin-reporter/index.html,https://github.com/killB0x/final_coverage/blob/master/java/flaky_tests/tests/spotify-metrics-munin-reporter/com/spotify/statistics/StaticMuninGraphProvider_ESTest.java,Object Population Challenge,
dataclasses-json,dataclasses_json/api.py,"DataClassJsonMixin.to_json(self, *, skipkeys: bool = False, ensure_ascii: bool = True, check_circular: bool = True, allow_nan: bool = True, indent: Optional[Union[int, str]] = None, separators: Tuple[str, str] = None, default: Callable = None, sort_keys: bool = False, **kw) -> str",50,50,Pynguin,Python,57,1,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,Instantiating Abstract Classes,
dataclasses-json,dataclasses_json/api.py,"DataClassJsonMixin.from_json(cls: Type[A], s: JsonData, *, parse_float=None, parse_int=None, parse_constant=None, infer_missing=False, **kw) -> A",63,"71, 76",Pynguin,Python,57,2,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,Instantiating Abstract Classes,
dataclasses-json,dataclasses_json/api.py,"DataClassJsonMixin.from_dict(cls: Type[A], kvs: Json, *, infer_missing=False) -> A",79,83,Pynguin,Python,57,1,0.25.2,https://killb0x.github.io/final_coverage/python/pynguin/coverage/dataclasses-json_html/z_51d5b48c97ddcb77_api_py.html,https://github.com/killB0x/final_coverage/blob/master/python/pynguin/tests/dataclasses-json/26/test_dataclasses_json_api.py,Instantiating Abstract Classes,
